r,g,b,h,s,v
31,52,101,222,69,40
222,210,69,55,69,87
173,141,61,43,65,68
244,178,114,30,53,96
11,43,208,230,95,82
214,188,97,47,55,84
18,177,19,120,90,69
155,9,111,318,94,61
231,235,194,66,17,92
5,251,95,142,98,98
9,199,31,127,95,78
75,42,51,344,44,29
158,129,206,263,37,81
127,101,119,318,20,50
51,254,105,136,80,100
250,231,206,34,18,98
21,70,97,201,78,38
51,243,50,120,79,95
18,200,173,171,91,78
17,153,224,201,92,88
116,217,89,107,59,85
188,95,80,8,57,74
206,197,94,55,54,81
60,63,44,69,30,25
51,124,142,192,64,56
153,71,19,23,88,60
194,184,240,251,23,94
136,203,95,97,53,80
43,8,96,264,92,38
197,51,23,10,88,77
8,229,206,174,97,90
41,179,200,188,80,78
218,111,130,349,49,85
52,42,206,244,80,81
195,45,6,12,97,76
12,62,34,146,81,24
196,138,180,317,30,77
41,250,194,164,84,98
135,237,65,96,73,93
80,99,62,91,37,39
250,201,228,327,20,98
226,160,67,35,70,89
252,79,139,339,69,99
139,236,111,107,53,93
252,108,175,332,57,99
157,14,204,285,93,80
204,102,55,19,73,80
83,240,249,183,67,98
98,42,118,284,64,46
90,219,105,127,59,86
172,14,182,296,92,71
101,199,148,149,49,78
217,10,68,343,95,85
238,240,30,61,88,94
3,7,174,239,98,68
71,114,184,217,61,72
163,223,143,105,36,87
54,84,55,122,36,33
108,0,61,326,100,42
151,172,181,198,17,71
105,209,177,162,50,82
218,252,220,124,13,99
15,9,105,244,91,41
209,248,178,93,28,97
243,207,53,49,78,95
13,162,108,158,92,64
2,22,146,232,99,57
30,127,172,199,83,67
15,76,71,175,80,30
161,77,49,15,70,63
103,89,30,48,71,40
104,226,87,113,62,89
205,87,28,20,86,80
148,163,16,66,90,64
85,218,152,150,61,85
44,116,192,211,77,75
157,75,231,272,68,91
83,190,6,95,97,75
9,204,72,139,96,80
209,99,232,290,57,91
193,177,113,48,41,76
208,30,70,347,86,82
138,151,209,229,34,82
102,178,43,94,76,70
194,250,60,78,76,98
126,55,135,293,59,53
232,45,148,327,81,91
13,89,30,133,85,35
169,252,32,83,87,99
135,246,162,135,45,96
113,51,89,323,55,44
233,246,69,64,72,96
230,95,155,333,59,90
202,42,212,296,80,83
249,36,67,351,86,98
218,186,130,38,40,85
97,244,221,171,60,96
147,24,131,308,84,58
176,227,158,104,30,89
158,50,84,341,68,62
214,67,149,327,69,84
75,154,35,100,77,60
66,147,106,150,55,58
84,251,138,139,67,98
197,109,134,343,45,77
66,248,55,117,78,97
144,66,156,292,58,61
131,133,14,61,89,52
77,59,70,323,23,30
7,141,136,178,95,55
65,55,251,243,78,98
1,217,206,177,100,85
27,225,115,147,88,88
248,29,151,327,88,97
72,51,5,41,93,28
162,250,86,92,66,98
24,75,223,225,89,87
139,154,97,76,37,60
107,243,74,108,70,95
57,95,86,166,40,37
98,254,239,174,61,100
147,19,227,277,92,89
253,131,56,23,78,99
203,82,254,282,68,100
60,170,22,105,87,67
192,75,244,282,69,96
26,148,61,137,82,58
76,68,95,258,28,37
144,197,133,110,32,77
228,78,20,17,91,89
93,217,253,193,63,99
27,121,3,108,98,47
80,160,194,198,59,76
179,129,147,338,28,70
64,213,1,102,100,84
205,56,105,340,73,80
8,236,243,182,97,95
21,183,213,189,90,84
236,32,174,318,86,93
123,24,212,272,89,83
100,2,118,291,98,46
205,249,77,75,69,98
164,142,80,44,51,64
36,234,145,153,85,92
105,4,190,273,98,75
134,198,77,92,61,78
206,144,14,41,93,81
0,24,254,234,100,100
59,237,99,133,75,93
89,141,113,148,37,55
203,139,162,338,32,80
104,210,201,175,50,82
168,88,209,280,58,82
209,105,82,11,61,82
222,129,147,348,42,87
145,234,247,188,41,97
130,129,122,53,6,51
247,143,204,325,42,97
61,252,81,126,76,99
221,222,180,61,19,87
86,125,105,149,31,49
8,208,217,183,96,85
73,154,139,169,53,60
88,155,82,115,47,61
125,11,194,277,94,76
149,189,168,149,21,74
2,124,247,210,99,97
25,135,53,135,81,53
243,131,164,342,46,95
176,76,111,339,57,69
66,134,126,173,51,53
141,115,104,18,26,55
10,244,148,155,96,96
156,127,17,47,89,61
52,241,147,150,78,95
237,150,70,29,70,93
153,221,98,93,56,87
200,62,33,10,84,78
81,110,13,78,88,43
107,250,211,164,57,98
68,149,156,185,56,61
100,36,247,258,85,97
235,12,195,311,95,92
128,66,240,261,73,94
125,150,214,223,42,84
154,83,12,30,92,60
205,186,142,42,31,80
94,45,131,274,66,51
47,35,238,244,85,93
2,38,146,225,99,57
232,21,227,301,91,91
177,143,11,48,94,69
214,148,113,21,47,84
253,177,78,34,69,99
24,53,68,200,65,27
224,21,187,311,91,88
133,111,38,46,71,52
138,41,132,304,70,54
85,27,36,351,68,33
122,196,17,85,91,77
240,214,103,49,57,94
242,94,46,15,81,95
184,169,18,55,90,72
161,54,158,302,66,63
172,67,237,277,72,93
99,16,188,269,91,74
242,174,168,5,31,95
132,136,179,235,26,70
4,183,10,122,98,72
158,118,178,280,34,70
85,200,66,111,67,78
208,45,115,334,78,82
105,23,10,8,90,41
108,20,81,318,81,42
152,244,98,98,60,96
208,33,214,298,85,84
228,131,65,24,71,89
254,17,104,338,93,100
93,241,67,111,72,95
222,210,78,55,65,87
241,42,218,307,83,95
177,234,100,86,57,92
191,250,20,75,92,98
238,221,156,48,34,93
58,86,97,197,40,38
76,141,92,135,46,55
69,72,151,238,54,59
77,136,49,101,64,53
49,117,154,201,68,60
101,155,239,217,58,94
209,157,56,40,73,82
103,62,8,34,92,40
72,197,144,155,63,77
77,131,84,128,41,51
174,66,91,346,62,68
20,144,224,204,91,88
68,254,151,147,73,100
134,119,159,263,25,62
223,77,50,9,78,87
48,39,149,245,74,58
183,46,89,341,75,72
34,30,90,244,67,35
63,6,74,290,92,29
212,90,145,333,58,83
195,111,119,354,43,76
223,63,124,337,72,87
171,252,92,90,63,99
96,214,250,194,62,98
105,147,139,169,29,58
188,135,79,31,58,74
204,203,58,60,72,80
120,208,250,199,52,98
141,226,240,188,41,94
55,116,59,124,53,45
12,42,208,231,94,82
163,165,240,238,32,94
152,66,180,285,63,71
69,105,47,97,55,41
147,118,27,46,82,58
85,171,35,98,80,67
169,137,165,308,19,66
36,81,181,221,80,71
169,149,214,258,30,84
239,227,201,41,16,94
138,92,48,29,65,54
190,127,194,296,35,76
52,10,158,257,94,62
194,213,107,71,50,84
225,47,28,6,88,88
205,134,22,37,89,80
254,111,7,25,97,100
29,5,85,258,94,33
119,32,202,271,84,79
198,218,118,72,46,85
64,88,44,93,50,35
55,14,220,252,94,86
251,21,3,4,99,98
177,180,72,62,60,71
242,149,205,324,38,95
49,83,85,183,42,33
1,229,241,183,100,95
56,128,36,107,72,50
59,231,196,168,74,91
92,178,49,100,72,70
155,3,171,294,98,67
35,90,150,211,77,59
123,142,110,96,23,56
0,221,150,161,100,87
180,9,96,329,95,71
66,114,191,217,65,75
19,176,158,173,89,69
118,123,49,64,60,48
214,242,140,76,42,95
207,202,27,58,87,81
13,182,233,194,94,91
90,101,24,69,76,40
68,62,90,253,31,35
253,9,121,332,96,99
195,185,236,252,22,93
65,111,38,98,66,44
38,195,100,144,81,76
105,121,206,230,49,81
22,82,233,223,91,91
200,96,117,348,52,78
205,162,227,280,29,89
94,76,223,247,66,87
136,22,211,276,90,83
21,38,205,234,90,80
128,0,91,317,100,50
112,168,65,93,61,66
242,144,13,34,95,95
227,239,184,73,23,94
123,208,250,200,51,98
17,59,67,190,75,26
19,184,218,190,91,85
41,173,232,199,82,91
60,172,103,143,65,67
46,177,68,130,74,69
227,82,129,341,64,89
87,149,20,89,87,58
165,76,8,26,95,65
93,142,143,181,35,56
152,7,156,298,96,61
234,175,212,322,25,92
170,218,194,150,22,85
179,244,97,87,60,96
6,121,89,163,95,47
92,104,69,81,34,41
59,17,240,251,93,94
239,254,23,64,91,100
192,102,177,310,47,75
8,74,180,217,96,71
224,230,34,62,85,90
183,157,130,31,29,72
118,25,88,319,79,46
64,182,77,127,65,71
228,68,76,357,70,89
82,208,80,119,62,82
84,105,36,78,66,41
141,32,205,278,84,80
231,22,214,305,90,91
247,4,191,314,98,97
43,119,150,197,71,59
87,238,242,182,64,95
66,79,241,236,73,95
237,102,31,21,87,93
157,23,3,8,98,62
127,56,233,264,76,91
72,111,152,211,53,60
162,44,89,337,73,64
237,181,21,44,91,93
154,176,185,197,17,73
10,206,193,176,95,81
187,188,250,239,25,98
192,39,96,338,80,75
198,27,225,292,88,88
117,128,226,234,48,89
152,133,154,294,14,60
223,47,226,299,79,89
121,53,247,261,79,97
233,225,93,57,60,91
236,195,167,24,29,93
20,77,253,225,92,99
3,218,237,185,99,93
128,242,15,90,94,95
68,145,186,201,63,73
207,189,94,50,55,81
16,25,200,237,92,78
69,206,80,125,67,81
79,98,200,231,61,78
133,37,125,305,72,52
41,127,39,119,69,50
35,182,66,133,81,71
90,19,196,264,90,77
191,221,27,69,88,87
66,143,38,104,73,56
133,143,2,64,99,56
147,72,23,24,84,58
68,10,27,342,85,27
218,82,60,8,72,85
76,56,252,246,78,99
8,88,181,212,96,71
147,88,39,27,73,58
13,148,223,201,94,87
202,218,37,65,83,85
125,142,217,229,42,85
244,199,151,31,38,96
232,123,12,30,95,91
218,201,45,54,79,85
198,101,199,299,49,78
112,178,117,125,37,70
126,242,133,124,48,95
88,165,154,171,47,65
45,115,232,218,81,91
169,240,31,80,87,94
242,244,238,80,2,96
50,245,31,115,87,96
33,95,229,221,86,90
239,198,3,50,99,94
176,22,203,291,89,80
133,165,185,203,28,73
202,136,196,305,33,79
62,87,10,79,89,34
155,50,240,273,79,94
200,203,199,105,2,80
241,154,94,24,61,95
143,220,203,167,35,86
16,128,97,163,88,50
162,66,237,274,72,93
140,167,64,76,62,65
229,101,153,336,56,90
245,67,208,312,73,96
143,211,77,90,64,83
17,194,144,163,91,76
52,34,177,248,81,69
90,152,135,164,41,60
96,85,166,248,49,65
185,221,254,209,27,100
231,157,194,330,32,91
189,237,243,187,22,95
223,155,3,41,99,87
189,128,22,38,88,74
55,42,161,247,74,63
58,126,134,186,57,53
170,123,239,264,49,94
129,117,108,26,16,51
40,152,223,203,82,87
89,91,133,237,33,52
247,0,226,305,100,97
116,43,177,273,76,69
1,28,10,140,96,11
212,223,87,65,61,87
197,97,85,6,57,77
245,58,100,347,76,96
26,205,60,131,87,80
209,30,92,339,86,82
238,194,223,320,18,93
246,157,251,297,37,98
148,179,73,78,59,70
36,180,57,129,80,71
53,131,222,212,76,87
124,194,155,147,36,76
155,144,63,53,59,61
183,233,254,198,28,100
211,178,83,45,61,83
14,227,138,155,94,89
145,113,44,41,70,57
18,210,254,191,93,100
91,13,131,280,90,51
55,249,215,169,78,98
128,251,159,135,49,98
189,198,14,63,93,78
9,109,131,191,93,51
33,105,18,110,83,41
12,246,33,125,95,96
180,74,19,20,89,71
91,110,126,207,28,49
28,131,125,177,79,51
86,127,148,200,42,58
211,137,82,26,61,83
231,11,223,302,95,91
147,180,79,80,56,71
41,199,80,135,79,78
49,216,54,122,77,85
203,143,42,38,79,80
60,113,19,94,83,44
72,79,3,66,96,31
222,92,252,289,63,99
86,135,51,95,62,53
64,79,230,235,72,90
180,178,248,242,28,97
109,206,23,92,89,81
106,126,199,227,47,78
49,197,15,109,92,77
90,66,87,308,27,35
177,104,247,271,58,97
166,233,251,193,34,98
171,194,72,71,63,76
74,228,51,112,78,89
226,86,6,22,97,89
207,13,184,307,94,81
50,253,2,109,99,99
214,230,70,66,70,90
55,231,137,148,76,91
240,2,60,345,99,94
228,25,114,334,89,89
189,60,149,319,68,74
122,4,125,299,97,49
210,170,16,48,92,82
44,75,213,229,79,84
130,228,155,135,43,89
206,244,75,73,69,96
135,114,56,44,59,53
129,192,145,135,33,75
213,65,65,0,69,84
88,21,67,319,76,35
0,135,243,207,100,95
244,159,198,332,35,96
172,254,76,88,70,100
57,114,22,97,81,45
75,133,144,190,48,56
4,213,164,166,98,84
160,126,246,257,49,96
218,239,181,82,24,94
63,179,204,191,69,80
245,235,183,50,25,96
59,172,194,190,70,76
36,174,55,128,79,68
164,61,191,288,68,75
205,174,9,51,96,80
192,150,235,270,36,92
225,123,9,32,96,88
55,29,159,252,82,62
219,16,25,357,93,86
35,88,83,174,60,35
233,166,220,312,29,91
177,242,11,77,95,95
66,228,181,163,71,89
117,251,242,176,53,98
189,243,86,81,65,95
183,95,218,283,56,85
226,60,78,353,73,89
230,84,6,21,97,90
195,12,17,358,94,76
98,193,46,99,76,76
239,1,166,318,100,94
124,24,2,11,98,49
82,7,250,259,97,98
50,142,200,203,75,78
128,240,151,132,47,94
151,223,107,97,52,87
182,196,166,88,15,77
30,19,23,338,37,12
124,213,21,88,90,84
127,157,216,220,41,85
79,87,160,234,51,63
62,179,20,104,89,70
76,207,71,118,66,81
165,184,9,67,95,72
177,250,30,80,88,98
95,117,227,230,58,89
133,32,1,14,99,52
151,27,186,287,85,73
22,139,96,158,84,55
193,254,246,172,24,100
162,122,27,42,83,64
77,160,235,208,67,92
213,72,181,314,66,84
117,195,75,99,62,76
70,33,157,258,79,62
74,154,30,99,81,60
39,97,65,147,60,38
103,136,154,201,33,60
85,249,10,101,96,98
127,106,75,36,41,50
92,213,150,149,57,84
12,116,237,212,95,93
244,65,146,333,73,96
104,153,60,92,61,60
106,138,110,128,23,54
136,7,123,306,95,53
24,12,103,248,88,40
127,225,245,190,48,96
13,109,57,148,88,43
67,96,228,229,71,89
76,115,116,182,34,45
231,191,54,46,77,91
240,183,139,26,42,94
221,250,127,74,49,98
26,31,38,215,32,15
5,250,64,134,98,98
203,91,131,339,55,80
53,168,33,111,80,66
5,209,13,122,98,82
212,147,213,299,31,84
37,0,90,265,100,35
117,146,4,72,97,57
197,207,128,68,38,81
46,126,215,212,79,84
250,8,36,353,97,98
217,164,58,40,73,85
225,56,223,301,75,88
66,229,248,186,73,97
211,198,54,55,74,83
155,225,129,104,43,88
5,189,35,130,97,74
103,43,227,260,81,89
1,140,1,120,99,55
186,121,240,273,50,94
235,95,185,321,60,92
10,132,199,201,95,78
185,206,13,67,94,81
48,194,153,163,75,76
27,108,228,216,88,89
80,139,66,108,53,55
159,139,70,47,56,62
98,169,131,148,42,66
79,10,172,266,94,67
179,18,13,2,93,70
43,11,41,304,74,17
5,119,133,187,96,52
243,96,35,18,86,95
0,250,139,153,100,98
11,253,43,128,96,99
148,79,125,320,47,58
60,169,81,132,64,66
183,208,153,87,26,82
182,65,165,309,64,71
91,248,193,159,63,97
247,74,251,299,71,98
159,239,221,167,33,94
8,16,192,237,96,75
190,38,81,343,80,75
78,173,33,101,81,68
171,226,96,85,58,89
205,64,129,332,69,80
152,133,173,269,23,68
162,211,96,86,55,83
40,127,174,201,77,68
236,120,180,329,49,93
35,117,254,218,86,100
234,4,40,351,98,92
126,240,22,91,91,94
59,249,93,131,76,98
241,84,210,312,65,95
58,185,40,113,78,73
203,62,242,287,74,95
232,80,109,349,66,91
0,182,21,127,100,71
12,44,199,230,94,78
162,76,237,272,68,93
214,195,58,53,73,84
17,149,152,181,89,60
174,118,44,34,75,68
112,141,33,76,77,55
83,110,30,80,73,43
173,72,24,19,86,68
65,176,216,196,70,85
144,153,228,234,37,89
158,17,109,321,89,62
140,40,224,273,82,88
216,181,26,49,88,85
204,202,4,59,98,80
13,135,91,158,90,53
161,253,72,90,72,99
152,223,131,106,41,87
58,6,225,254,97,88
251,147,86,22,66,98
187,225,224,178,17,88
194,113,57,25,71,76
77,197,130,147,61,77
105,175,250,211,58,98
212,12,54,347,94,83
38,89,189,220,80,74
60,22,50,316,63,24
79,136,107,149,42,53
221,190,169,24,24,87
179,130,71,33,60,70
114,213,94,110,56,84
182,125,12,40,93,71
201,111,139,341,45,79
143,196,192,175,27,77
43,167,167,180,74,65
4,112,183,204,98,72
9,223,43,130,96,87
162,214,181,142,24,84
217,156,141,12,35,85
242,185,212,332,24,95
28,78,176,220,84,69
39,140,2,104,99,55
145,78,23,27,84,57
12,71,129,210,91,51
228,253,2,66,99,99
213,107,252,284,58,99
103,87,155,254,44,61
234,20,164,320,91,92
140,32,61,344,77,55
25,63,27,123,60,25
199,152,126,21,37,78
10,47,184,227,95,72
163,93,185,286,50,73
106,98,216,244,55,85
163,58,17,17,90,64
166,142,189,271,25,74
211,15,117,329,93,83
23,165,237,200,90,93
205,26,36,357,87,80
149,9,119,313,94,58
24,18,87,245,79,34
60,15,20,353,75,24
166,74,152,309,55,65
10,94,149,204,93,58
134,6,216,277,97,85
119,244,121,121,51,96
9,242,218,174,96,95
63,210,51,115,76,82
227,208,162,42,29,89
252,41,88,347,84,99
7,12,194,238,96,76
102,245,218,169,58,96
201,28,113,331,86,79
154,119,18,45,88,60
121,109,20,53,83,47
99,108,149,229,34,58
111,96,162,254,41,64
145,234,207,162,38,92
66,17,173,259,90,68
10,186,41,131,95,73
115,16,33,350,86,45
21,17,116,242,85,45
168,236,36,80,85,93
200,108,90,10,55,78
212,228,149,72,35,89
151,210,218,187,31,85
12,173,206,190,94,81
149,57,40,9,73,58
86,64,198,250,68,78
79,102,159,223,50,62
205,48,123,331,77,80
45,165,203,194,78,80
203,222,67,67,70,87
188,39,116,329,79,74
50,232,248,185,80,97
144,231,15,84,94,91
59,22,142,258,85,56
130,184,165,159,29,72
71,132,229,217,69,90
124,107,142,269,25,56
82,16,243,257,93,95
45,49,205,238,78,80
250,219,233,333,12,98
38,210,67,130,82,82
80,240,246,182,67,96
118,188,149,147,37,74
190,85,124,338,55,75
15,248,20,121,94,97
3,105,129,191,98,51
178,49,77,347,72,70
181,23,125,321,87,71
43,155,41,119,74,61
170,48,166,302,72,67
86,254,230,171,66,100
96,93,22,58,77,38
137,93,122,320,32,54
67,236,147,148,72,93
8,30,194,233,96,76
9,175,229,195,96,90
248,46,127,336,81,97
195,81,222,289,64,87
155,96,92,4,41,61
8,193,49,133,96,76
113,128,213,231,47,84
249,149,124,12,50,98
51,187,237,196,78,93
215,116,128,353,46,84
104,171,143,155,39,67
219,136,209,307,38,86
10,145,185,194,95,73
89,98,23,67,77,38
43,42,228,240,82,89
203,185,228,265,19,89
111,142,161,203,31,63
175,198,68,71,66,78
209,250,106,77,58,98
119,244,235,176,51,96
122,56,86,333,54,48
244,33,199,313,86,96
228,91,73,7,68,89
91,54,116,276,53,45
99,11,213,266,95,84
70,93,95,185,26,37
78,75,166,242,55,65
25,225,66,132,89,88
223,35,33,1,85,87
212,138,12,38,94,83
109,54,168,269,68,66
148,146,120,56,19,58
105,1,19,350,99,41
226,189,126,38,44,89
209,9,30,354,96,82
115,90,227,251,60,89
143,40,13,12,91,56
251,237,236,4,6,98
100,78,221,249,65,87
163,119,43,38,74,64
139,164,197,214,29,77
251,251,29,60,88,98
137,174,97,89,44,68
74,199,228,191,68,89
203,19,1,5,100,80
163,170,75,64,56,67
10,12,116,239,91,45
162,151,91,51,44,64
185,124,241,271,49,95
190,165,207,276,20,81
223,111,75,15,66,87
167,20,77,337,88,65
147,99,171,280,42,67
41,9,11,356,78,16
103,202,59,102,71,79
226,57,91,348,75,89
186,19,168,306,90,73
254,28,112,338,89,100
200,155,148,8,26,78
75,50,78,294,36,31
92,233,117,131,61,91
222,117,202,311,47,87
219,29,225,298,87,88
245,243,128,59,48,96
123,29,83,326,76,48
118,219,11,89,95,86
85,165,43,99,74,65
110,239,79,108,67,94
219,115,170,328,47,86
126,167,147,151,25,65
144,121,90,34,37,56
85,101,230,233,63,90
165,231,104,91,55,91
0,253,52,132,100,99
74,210,144,151,65,82
78,23,82,296,72,32
7,214,178,170,97,84
72,109,12,83,89,43
136,190,184,173,28,75
147,123,83,37,44,58
218,248,53,69,79,97
161,192,52,73,73,75
247,21,5,4,98,97
82,48,223,252,78,87
185,180,211,250,15,83
186,178,174,20,6,73
119,230,241,185,51,95
185,110,228,278,52,89
99,95,54,55,45,39
59,125,103,160,53,49
9,120,236,211,96,93
169,34,54,351,80,66
19,153,200,196,91,78
200,134,173,325,33,78
48,187,104,144,74,73
251,45,43,1,83,98
228,117,120,358,49,89
115,120,142,229,19,56
18,232,229,179,92,91
7,124,190,202,96,75
220,248,249,182,12,98
196,155,176,329,21,77
145,250,116,107,54,98
45,132,67,135,66,52
29,21,97,246,78,38
107,193,121,130,45,76
253,214,51,48,80,99
154,113,58,34,62,60
110,12,235,266,95,92
247,167,172,356,32,97
90,43,57,342,52,35
198,169,230,269,27,90
28,68,71,184,61,28
162,119,194,274,39,76
141,10,66,334,93,55
227,238,178,71,25,93
196,2,36,349,99,77
32,195,203,183,84,80
46,112,65,137,59,44
88,224,39,104,83,88
237,233,147,57,38,93
3,133,160,190,98,63
11,149,42,133,93,58
218,126,219,299,42,86
78,78,17,60,78,31
87,183,58,106,68,72
161,66,230,275,71,90
224,29,83,343,87,88
181,1,114,322,99,71
45,28,248,245,89,97
180,4,184,299,98,72
98,13,246,262,95,96
64,117,110,172,45,46
61,213,118,143,71,84
132,230,174,146,43,90
67,205,55,115,73,80
21,74,9,109,88,29
62,55,27,48,56,24
232,24,134,328,90,91
122,118,77,55,37,48
249,196,139,31,44,98
107,238,200,163,55,93
41,127,109,167,68,50
77,21,169,263,88,66
116,101,16,51,86,45
186,15,182,301,92,73
223,35,207,305,84,87
142,107,101,9,29,56
144,241,79,96,67,95
75,78,25,63,68,31
89,106,52,79,51,42
144,131,97,43,33,56
247,45,96,345,82,97
240,92,83,3,65,94
116,22,24,359,81,45
243,174,183,352,28,95
48,87,215,226,78,84
163,167,66,62,60,65
28,162,4,111,98,64
32,154,133,170,79,60
135,111,148,279,25,58
188,190,17,61,91,75
26,43,189,234,86,74
159,114,162,296,30,64
108,205,28,93,86,80
51,197,200,181,74,78
137,166,199,212,31,78
80,231,206,170,65,91
53,125,235,216,77,92
128,71,104,325,45,50
100,175,238,207,58,93
106,239,244,182,57,96
29,62,55,167,53,24
165,218,99,87,55,85
91,81,141,250,43,55
133,40,43,358,70,52
4,65,41,156,94,25
228,182,232,295,22,91
44,91,118,202,63,46
105,242,235,177,57,95
126,196,74,94,62,77
11,188,195,182,94,76
253,119,233,309,53,99
50,252,203,165,80,99
232,56,219,304,76,91
4,123,253,211,98,99
29,154,221,201,87,87
202,35,29,2,86,79
66,231,143,148,71,91
205,176,85,46,59,80
151,83,133,316,45,59
247,178,17,42,93,97
133,25,231,271,89,91
66,49,109,257,55,43
46,70,117,220,61,46
186,253,149,99,41,99
73,158,196,199,63,77
177,247,115,92,53,97
165,55,50,3,70,65
90,1,170,272,99,67
131,0,85,321,100,51
160,3,252,278,99,99
119,63,120,299,48,47
234,19,205,308,92,92
201,216,74,66,66,85
119,153,227,221,48,89
224,7,97,335,97,88
101,209,120,131,52,82
23,234,124,149,90,92
50,146,222,207,77,87
14,19,64,234,78,25
230,18,31,356,92,90
28,249,165,157,89,98
138,190,25,79,87,75
190,176,93,51,51,75
145,242,125,110,48,95
117,228,131,128,49,89
40,26,77,256,66,30
112,44,36,6,68,44
134,152,215,227,38,84
75,151,239,212,69,94
157,187,134,94,28,73
186,213,117,77,45,84
45,88,253,228,82,99
73,187,52,111,72,73
207,146,103,25,50,81
43,57,134,231,68,53
221,47,41,2,81,87
99,222,49,103,78,87
47,111,41,115,63,44
99,69,103,293,33,40
33,72,192,225,83,75
214,103,15,27,93,84
242,66,123,341,73,95
85,205,205,180,59,80
98,31,111,290,72,44
90,84,192,243,56,75
115,133,253,232,55,99
70,110,63,111,43,43
110,209,238,194,54,93
231,24,221,303,90,91
79,196,24,101,88,77
140,175,30,74,83,69
215,210,24,58,89,84
13,130,178,197,93,70
228,236,32,62,86,93
41,194,182,175,79,76
94,8,151,276,95,59
141,237,155,129,41,93
12,10,24,249,58,9
119,167,154,164,29,65
137,186,178,170,26,73
5,151,207,197,98,81
217,70,19,15,91,85
99,41,250,257,84,98
78,35,183,257,81,72
162,187,196,196,17,77
128,64,8,28,94,50
138,8,50,341,94,54
143,36,195,280,82,76
107,51,85,324,52,42
19,130,41,132,85,51
15,14,192,240,93,75
111,51,82,329,54,44
166,196,240,216,31,94
28,251,82,135,89,98
223,57,217,302,74,87
139,60,23,19,83,55
159,32,147,306,80,62
22,180,173,177,88,71
218,165,189,333,24,85
235,61,241,298,75,95
154,44,79,341,71,60
203,36,25,4,88,80
23,54,252,232,91,99
190,219,207,155,13,86
217,140,198,315,35,85
246,52,235,303,79,96
180,141,175,308,22,71
92,55,77,324,40,36
111,98,34,50,69,44
96,210,37,100,82,82
12,179,113,156,93,70
188,127,141,346,32,74
150,144,83,55,45,59
11,149,89,154,93,58
138,116,44,46,68,54
165,79,127,327,52,65
251,150,136,7,46,98
240,156,252,292,38,99
63,39,31,15,51,25
81,80,98,243,18,38
199,152,77,37,61,78
90,29,92,298,68,36
135,242,101,106,58,95
82,166,229,206,64,90
153,81,214,272,62,84
55,16,45,315,71,22
3,89,16,129,97,35
182,246,203,140,26,96
40,44,205,239,80,80
244,119,19,27,92,96
88,74,95,280,22,37
201,145,30,40,85,79
221,117,173,328,47,87
115,183,34,87,81,72
147,21,153,297,86,60
200,249,149,89,40,98
1,249,109,146,100,98
25,216,57,130,88,85
67,251,133,142,73,98
73,20,1,16,99,29
166,45,70,348,73,65
21,105,229,216,91,90
120,145,199,221,40,78
253,222,191,30,25,99
94,60,62,356,36,37
211,92,46,17,78,83
111,42,206,265,80,81
119,197,180,167,40,77
139,55,170,284,68,67
35,60,29,108,52,24
125,173,179,187,30,70
182,253,222,154,28,99
135,65,201,271,68,79
159,250,235,170,36,98
215,25,140,324,88,84
203,129,111,12,45,80
123,209,111,113,47,82
82,218,34,104,84,85
63,229,163,156,72,90
99,130,119,159,24,51
66,231,99,132,71,91
41,38,34,34,17,16
120,41,238,264,83,93
55,72,88,209,37,35
189,125,156,331,34,74
68,6,71,297,92,28
89,173,43,99,75,68
178,161,103,46,42,70
180,157,1,52,99,71
94,199,4,92,98,78
169,146,103,39,39,66
110,88,247,248,64,97
177,113,175,302,36,69
101,28,86,312,72,40
172,89,212,280,58,83
201,3,152,315,99,79
23,87,110,196,79,43
148,175,173,176,15,69
245,52,165,325,79,96
216,82,164,323,62,85
198,158,202,295,22,79
192,158,155,5,19,75
109,181,53,94,71,71
72,140,254,218,72,100
83,108,192,226,57,75
147,171,72,75,58,67
31,11,186,247,94,73
223,160,125,21,44,87
105,151,193,209,46,76
202,144,127,14,37,79
90,210,110,130,57,82
23,146,99,157,84,57
75,238,31,107,87,93
25,144,209,201,88,82
190,35,156,313,82,75
88,128,150,201,41,59
77,56,184,250,70,72
63,27,94,272,71,37
208,101,119,350,51,82
217,159,184,334,27,85
150,23,23,0,85,59
6,110,210,209,97,82
93,55,47,10,49,36
224,233,106,64,55,91
140,162,178,205,21,70
176,63,39,11,78,69
220,133,8,35,96,86
90,240,106,126,62,94
184,22,2,7,99,72
71,196,63,116,68,77
4,23,190,234,98,75
11,215,171,167,95,84
57,107,5,89,95,42
195,48,153,317,75,76
247,168,127,20,49,97
23,218,49,128,89,85
222,45,245,293,82,96
191,95,129,339,50,75
198,130,104,17,47,78
24,139,39,128,83,55
212,45,238,292,81,93
69,188,46,110,76,74
113,238,144,135,53,93
186,118,197,292,40,77
135,28,29,359,79,53
215,57,185,311,73,84
135,186,254,214,47,100
241,119,190,325,51,95
115,178,85,101,52,70
11,209,217,182,95,85
191,115,218,284,47,85
9,247,227,175,96,97
23,27,117,237,80,46
196,65,138,327,67,77
208,130,59,29,72,82
26,160,147,174,84,63
250,146,77,24,69,98
50,71,207,232,76,81
202,15,197,302,93,79
131,197,194,177,34,77
22,191,142,163,88,75
48,218,253,190,81,99
222,140,72,27,68,87
141,180,14,74,92,71
49,103,198,218,75,78
99,153,95,116,38,60
238,121,81,15,66,93
244,248,132,62,47,97
